scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
DOC,NOTE: this is not a normal ID like other pages -- this is used within the coverage_model code and *must* be DICT###,Confluence reference,Canonical name of the parameter dictionary,Parameter Definition IDs,Temporal Domain Parameter Identifier,,,,
DOC:WARNING,,,r2deploy loads the BASE scenario from CSV files located in ion-definitions/res/preload/r2_ioc and NOT from this document or the one in TESTED_DOC. Please export changes to CSV files to change system bootstrap!,,,,,,
BETA,DICT15,,presf_tide_measurement,"PD7,PD10,PD11,PD12,PD16,PD93,PD94,PD29,PD742,PD863,PD891",PD7,,Science,Tide Measurement Data Products,
TO-DO,DICT16,,presf_operating_status,"PD7,PD10,PD11,PD12,PD16,PD113,PD312,PD93,PD115,PD116,PD117,PD118,PD119,PD120,PD121,PD122,PD123,PD124,PD126,PD127,PD128,PD129,PD130,PD131,PD132,PD133,PD134,PD135,PD136,PD137,PD138,PD139,PD140,PD141,PD142,PD143,PD144,PD156,PD157,PD863",PD7,,Engineering,Status Data,Status Data
TO-DO,DICT17,,presf_calibration_coefficients,"PD7,PD10,PD11,PD12,PD16,PD158,PD159,PD160,PD161,PD162,PD163,PD164,PD165,PD166,PD167,PD168,PD169,PD170,PD171,PD172,PD173,PD174,PD175,PD176,PD177,PD178,PD179,PD180,PD181,PD182,PD183,PD184,PD185,PD186,PD187,PD863",PD7,,Engineering,Calibration Data,Calibration Data
TO-DO,DICT21,,do_fast_sample,"PD7,PD10,PD11,PD12,PD16,PD863,PD2310,PD3777",PD7,,Science,Data Products,Data Products
TO-DO,DICT22,,do_stable_sample,"PD7,PD10,PD11,PD12,PD16,PD863,PD197,PD964,PD835,PD836,PD14",PD7,,Science,Data Products,Data Products
TO-DO,DICT23,,ctdbp_no_sample,"PD7,PD10,PD11,PD12,PD16,PD863,PD193,PD194,PD195,PD196,PD835,PD836,PD197,PD908,PD3647,PD3648,PD13,PD5,PD964,PD14",PD7,,Science,Data Products,Data Products
TO-DO,DICT24,,ctdbp_no_hardware,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD113,PD293,PD259,PD295,PD261,PD297,PD257,PD258,PD212,PD116,PD2277,PD2278,PD2279,PD2280",PD7,,Engineering,Hardware Data,Hardware Data
TO-DO,DICT25,,ctdbp_no_calibration_coefficients,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD175,PD176,PD177,PD178,PD179,PD229,PD180,PD181,PD182,PD183,PD184,PD186,PD185,PD187,PD280,PD158,PD163,PD164,PD165,PD166,PD167,PD168,PD169,PD170,PD171,PD256,PD174,PD281,PD244,PD243,PD246,PD245,PD248,PD247,PD250,PD249,PD252,PD251,PD254,PD253,PD255,PD257,PD258",PD7,,Engineering,Calibration Data,Calibration Data
TO-DO,DICT26,,ctdbp_no_status,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD93,PD202,PD263,PD121,PD122,PD120,PD199,PD200,PD201,PD204,PD203,PD264,PD265,PD2293",PD7,,Engineering,Status Data,Status Data
TO-DO,DICT27,,ctdbp_no_configuration,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD211,PD218,PD219,PD220,PD221,PD222,PD223,PD213,PD215,PD216,PD217,PD224,PD267,PD225,PD2294,PD2295,PD2296,PD2297,PD2298,PD2299,PD2300",PD7,,Engineering,Configuration Data,Configuration Data
TO-DO,DICT28,,parad_sa_sample,"PD7,PD10,PD11,PD12,PD16,PD863,PD312,PD28,PD188,PD15,PD192,PD191,PD27,PD189,PD190,PD8087,PD8088,PD8089,PD320,PD1144,PD438,PD437",PD7,,Science,Data Products,Data Products
TO-DO,DICT31,,prest_real_time,"PD7,PD10,PD11,PD12,PD16,PD73,PD74,PD93,PD94,PD29,PD863,PD891",PD7,,Science,Data Products,Data Products
TO-DO,DICT32,,prest_reference_oscillator,"PD7,PD10,PD11,PD12,PD16,PD268,PD269,PD73,PD74,PD93,PD271,PD272,PD273,PD270,PD863",PD7,,Engineering,Reference Oscillator Data,Reference Oscillator Data
TO-DO,DICT33,,prest_configuration_data,"PD7,PD10,PD11,PD12,PD16,PD274,PD312,PD275,PD276,PD277,PD278,PD279,PD280,PD158,PD159,PD160,PD161,PD162,PD163,PD164,PD165,PD166,PD167,PD168,PD169,PD170,PD171,PD174,PD281,PD282,PD283,PD284,PD285,PD286,PD863",PD7,,Engineering,Configuration Data,Configuration Data
TO-DO,DICT34,,prest_device_status,"PD7,PD10,PD11,PD12,PD16,PD274,PD312,PD288,PD121,PD73,PD289,PD290,PD863,PD2925",PD7,,Engineering,Device Status,Device Status
TO-DO,DICT35,,prest_event_counter,"PD7,PD10,PD11,PD12,PD16,PD274,PD312,PD299,PD300,PD302,PD303,PD304,PD305,PD307,PD308,PD309,PD298,PD2924,PD863",PD7,,Engineering,Event Counter Data,Event Counter Data
